"","voyage_id","ship_name","port_origin","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","state"
"728",90427,"Susanna",NA,"Africa., port unspecified","York River",1749,200,"Fryer, Edward","Virginia"
"729",90466,"Rainbow","Liverpool","Benin","Charleston",1758,201,"Harrison, Joseph","South Carolina"
"730",90467,"Rainbow","Liverpool","Gambia","Charleston",1759,100,"Harrison, Joseph","South Carolina"
"731",90472,"Benn","Liverpool","Calabar","Charleston",1756,350,"Naylor, Thomas<br/> Sherman, James","South Carolina"
"732",90514,"Orrel","Liverpool","Gambia","South Carolina, port unspecified",1754,170,"Bennett, James","South Carolina"
"733",90515,"Orrel","Liverpool","Gambia","Charleston",1755,133,"Bennett, James","South Carolina"
"734",90538,"Hardman","Liverpool","Gambia","Charleston",1758,152,"Jordan, Thomas","South Carolina"
"735",90556,"Mears","Liverpool","Gold Coast, port unspecified","Charleston",1758,243,"Berrill, Chris","South Carolina"
"736",90621,"Phoebe","Liverpool","Gambia","Charleston",1758,161,"Bennett, James","South Carolina"
"737",90646,"Enterprize",NA,"Africa., port unspecified","Charleston",1755,33,"Arnold, James","South Carolina"
"738",90648,"Charming Esther","Liverpool","Gold Coast, port unspecified","Charleston",1760,204,"Hamilton, John","South Carolina"
"739",90667,"Middleton","Liverpool","Windward Coast, port unspecified","Charleston",1758,186,"Walker, John","South Carolina"
"740",90668,"Middleton","Liverpool","Anomabu","Charleston",1760,155,"Walker, John","South Carolina"
"741",90670,"Mary","Liverpool","Bonny","Rappahannock",1760,128,"Kelly, John<br/> Cottyman, Thomas<br/> Kerr, Daniel","Virginia"
"742",90684,"Glory","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1758,764,"Clemens, James","South Carolina"
"743",90694,"Nancy","Liverpool","Gold Coast, port unspecified","Charleston",1758,252,"Darbyshire, Ralph","South Carolina"
"744",90696,"Polly","Liverpool","Gambia","Charleston",1758,118,"Corbett, John<br/> Lloyd, Edward","South Carolina"
"745",90717,"Britannia","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1765,220,"Witherington, Robert","South Carolina"
"746",90725,"Molly","Liverpool","Anomabu","Charleston",1758,59,"Bassnett, Thomas","South Carolina"
"747",90734,"Marlborough","Liverpool","Bight of Benin, port unspecified","Charleston",1759,293,"Lace, Ambrose","South Carolina"
"748",90736,"Marlborough","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1762,263,"Benson, William<br/> Jones, Matthew","South Carolina"
"749",90746,"Ann and Betty","Liverpool","Windward Coast, port unspecified","Virginia, port unspecified",1758,123,"Nichols, Timothy","Virginia"
"750",11414,"Gideon","Texel","Loango","New York",1664,348,"Gilde, Sijmon Cornelisz","New York"
"751",82355,"Lord Rodney","Liverpool","Congo North","Charleston",1804,333,"Carlile, Ladwick","South Carolina"
"752",82412,"Macclesfield","Liverpool","Congo River","Charleston",1804,298,"Belcher, Elijah<br/> Wilson, Adam James","South Carolina"
"753",82441,"Margaret","Liverpool","Congo North","Charleston",1805,260,"Young, John","South Carolina"
"754",82444,"Margaret (a) Sally","Liverpool","Congo North","New Orleans",1804,200,"Lace, William<br/> Bowes","Unknown"
"755",82445,"Margaret","Liverpool","Congo River","Charleston",1805,200,"Bowes, Edward","South Carolina"
"756",82446,"Margaret","Liverpool","Senegambia and offshore Atlantic, port unspecified","Charleston",1806,150,"Martin, Charles","South Carolina"
"757",82473,"Marquis of Huntley","London","Congo River","Charleston",1805,381,"Hamilton, Hance","South Carolina"
"758",82477,"Mars","Liverpool","West Central Africa and St. Helena, port unspecified","Savannah",1803,197,"White, Robert<br/> Bennett, William","Georgia"
"759",82479,"Mars","Liverpool","Gambia","Charleston",1806,100,"Mitchell, John","South Carolina"
"760",82603,"Mary","London","Bance Island (Ben's Island)","Charleston",1785,157,"Bowie, James","South Carolina"
"761",82611,"Mary","Liverpool","Sierra Leone estuary","Charleston",1806,190,"Cowan, Alexander","South Carolina"
"762",82678,"Mentor","London","Gambia","Charleston",1785,152,"Lyttleton, William","South Carolina"
"763",82693,"Mercury","Liverpool","Congo North","Charleston",1806,400,"Barrow, James","South Carolina"
"764",82746,"Minerva","London","Congo North","Charleston",1806,400,"Laidler, W","South Carolina"
"765",82795,"Molly","Lancaster","Windward Coast (Nunez - Assini)","Charleston",1784,160,"Hort, Josiah","South Carolina"
"766",82872,"Nanny","Liverpool","Bight of Benin, port unspecified","Charleston",1805,275,"Ainsworth, John<br/> Kelly, Edward","South Carolina"
"767",82935,"Nicholson","Liverpool","Congo River","Charleston",1806,360,"Kermode, William","South Carolina"
"768",82940,"Nile","Liverpool","Congo River","Charleston",1805,278,"Gwin, John","South Carolina"
"769",91789,"Union","Liverpool","Anomabu","Upper James River",1772,280,"Pole, Charles","Virginia"
"770",91803,"Fox","Liverpool","Cameroons","Virginia, port unspecified",1772,250,"Peers, John","Virginia"
"771",91825,"Charlotte","Liverpool","Sierra Leone estuary","Charleston",1773,110,"Powell, Thomas","South Carolina"
"772",91826,"Charlotte","Liverpool","Iles de Los","Charleston",1774,140,"Powell, Thomas<br/> Quirk","South Carolina"
"773",91830,"Nancy","Liverpool","Cape Mount (Cape Grand Mount)","Charleston",1773,130,"Blower, Thomas","South Carolina"
"774",91849,"Blossom","Liverpool","Cape Mount (Cape Grand Mount)","Charleston",1773,274,"Briggs, William","South Carolina"
"775",91883,"Robert","Liverpool","Cape Coast Castle","Charleston",1773,130,"Mann, Luke","South Carolina"
"776",91889,"Thomas","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1773,160,"Lyon, Edward","South Carolina"
"777",91896,"Little Ben","Liverpool","Windward Coast, port unspecified","Charleston",1773,106,"Melling, Thomas","South Carolina"
"778",91898,"Corsican Hero","Liverpool","Anomabu","Charleston",1773,210,"Blundell, Richard<br/> Noble, Clement","South Carolina"
"779",91903,"Stanley","Lancaster","Sierra Leone estuary","Charleston",1773,155,"Abson, John","South Carolina"
